eps,size,balance,noise,disruptions,timespan,base_disruptions,base_timespan,better
0.5,20,0.9,0.0,1.94,9.147,3.15,15.0,True
0.5,20,0.9,0.15,2.98,12.952,3.6,15.225,True
0.5,20,0.9,0.3,4.22,15.728,4.05,15.45,False
0.5,20,0.9,0.45,5.38,18.647,4.5,15.675,False
0.5,20,0.9,0.6,6.54,20.989,4.95,15.9,False
0.5,20,0.5,0.0,2.2,8.695,3.75,15.0,True
0.5,20,0.5,0.15,3.42,12.597,4.2,15.225,True
0.5,20,0.5,0.3,4.72,15.786,4.65,15.45,False
0.5,20,0.5,0.45,5.88,18.507,5.1,15.675,False
0.5,20,0.5,0.6,7.41,21.214,5.55,15.9,False
0.5,20,0.1,0.0,2.77,10.141,4.35,15.0,True
0.5,20,0.1,0.15,4.23,13.452,4.8,15.225,True
0.5,20,0.1,0.3,5.54,16.347,5.25,15.45,False
0.5,20,0.1,0.45,7.0,18.78,5.7,15.675,False
0.5,20,0.1,0.6,8.19,21.264,6.15,15.9,False
0.5,40,0.9,0.0,2.64,10.455,4.15,17.4,True
0.5,40,0.9,0.15,3.97,14.802,4.87,17.685,True
0.5,40,0.9,0.3,5.63,18.304,5.59,17.97,False
0.5,40,0.9,0.45,7.4,21.632,6.31,18.255,False
0.5,40,0.9,0.6,9.42,24.417,7.03,18.54,False
0.5,40,0.5,0.0,2.86,10.541,4.75,17.4,True
0.5,40,0.5,0.15,4.54,14.308,5.47,17.685,True
0.5,40,0.5,0.3,6.3,18.371,6.19,17.97,False
0.5,40,0.5,0.45,8.12,21.139,6.91,18.255,False
0.5,40,0.5,0.6,10.17,25.038,7.63,18.54,False
0.5,40,0.1,0.0,3.51,11.539,5.35,17.4,True
0.5,40,0.1,0.15,5.61,15.432,6.07,17.685,True
0.5,40,0.1,0.3,7.01,19.247,6.79,17.97,False
0.5,40,0.1,0.45,9.05,21.667,7.51,18.255,False
0.5,40,0.1,0.6,10.97,25.214,8.23,18.54,False
0.5,60,0.9,0.0,3.12,11.715,5.15,19.8,True
0.5,60,0.9,0.15,4.98,16.959,6.14,20.145,True
0.5,60,0.9,0.3,7.16,20.349,7.13,20.49,False
0.5,60,0.9,0.45,9.57,24.248,8.12,20.835,False
0.5,60,0.9,0.6,12.22,28.444,9.11,21.18,False
0.5,60,0.5,0.0,3.39,11.658,5.75,19.8,True
0.5,60,0.5,0.15,5.43,16.656,6.74,20.145,True
0.5,60,0.5,0.3,7.93,20.987,7.73,20.49,False
0.5,60,0.5,0.45,10.26,24.62,8.72,20.835,False
0.5,60,0.5,0.6,12.98,29.008,9.71,21.18,False
0.5,60,0.1,0.0,4.23,12.823,6.35,19.8,True
0.5,60,0.1,0.15,6.41,17.891,7.34,20.145,True
0.5,60,0.1,0.3,8.82,21.625,8.33,20.49,False
0.5,60,0.1,0.45,11.39,25.61,9.32,20.835,False
0.5,60,0.1,0.6,13.76,29.024,10.31,21.18,False
0.5,80,0.9,0.0,3.79,13.719,6.15,22.2,True
0.5,80,0.9,0.15,5.94,18.704,7.41,22.605,True
0.5,80,0.9,0.3,8.88,23.45,8.67,23.01,False
0.5,80,0.9,0.45,11.57,27.349,9.93,23.415,False
0.5,80,0.9,0.6,14.54,31.826,11.19,23.82,False
0.5,80,0.5,0.0,4.07,12.785,6.75,22.2,True
0.5,80,0.5,0.15,6.54,19.024,8.01,22.605,True
0.5,80,0.5,0.3,9.43,23.239,9.27,23.01,False
0.5,80,0.5,0.45,12.46,27.324,10.53,23.415,False
0.5,80,0.5,0.6,15.61,32.017,11.79,23.82,False
0.5,80,0.1,0.0,4.72,14.561,7.35,22.2,True
0.5,80,0.1,0.15,7.44,19.611,8.61,22.605,True
0.5,80,0.1,0.3,10.62,24.558,9.87,23.01,False
0.5,80,0.1,0.45,13.41,28.098,11.13,23.415,False
0.5,80,0.1,0.6,16.75,31.977,12.39,23.82,False
0.5,100,0.9,0.0,4.2,14.863,7.15,24.6,True
0.5,100,0.9,0.15,7.37,20.129,8.68,25.065,True
0.5,100,0.9,0.3,10.4,26.197,10.21,25.53,False
0.5,100,0.9,0.45,13.71,31.236,11.74,25.995,False
0.5,100,0.9,0.6,17.89,35.126,13.27,26.46,False
0.5,100,0.5,0.0,4.48,14.305,7.75,24.6,True
0.5,100,0.5,0.15,7.62,20.467,9.28,25.065,True
0.5,100,0.5,0.3,10.99,26.167,10.81,25.53,False
0.5,100,0.5,0.45,14.5,29.813,12.34,25.995,False
0.5,100,0.5,0.6,18.48,34.833,13.87,26.46,False
0.5,100,0.1,0.0,5.3,15.876,8.35,24.6,True
0.5,100,0.1,0.15,8.64,21.628,9.88,25.065,True
0.5,100,0.1,0.3,11.93,26.765,11.41,25.53,False
0.5,100,0.1,0.45,15.68,31.65,12.94,25.995,False
0.5,100,0.1,0.6,19.32,36.062,14.47,26.46,False
1.5,20,0.9,0.0,1.86,9.241,3.15,15.0,True
1.5,20,0.9,0.15,2.6,10.638,3.6,15.225,True
1.5,20,0.9,0.3,3.2,12.27,4.05,15.45,True
1.5,20,0.9,0.45,4.06,14.441,4.5,15.675,True
1.5,20,0.9,0.6,5.08,16.583,4.95,15.9,False
1.5,20,0.5,0.0,2.2,8.376,3.75,15.0,True
1.5,20,0.5,0.15,2.95,10.708,4.2,15.225,True
1.5,20,0.5,0.3,3.79,12.633,4.65,15.45,True
1.5,20,0.5,0.45,4.79,14.374,5.1,15.675,True
1.5,20,0.5,0.6,5.86,16.4,5.55,15.9,False
1.5,20,0.1,0.0,2.92,9.462,4.35,15.0,True
1.5,20,0.1,0.15,3.6,11.433,4.8,15.225,True
1.5,20,0.1,0.3,4.48,13.663,5.25,15.45,True
1.5,20,0.1,0.45,5.46,15.042,5.7,15.675,True
1.5,20,0.1,0.6,6.56,16.974,6.15,15.9,False
1.5,40,0.9,0.0,2.51,10.073,4.15,17.4,True
1.5,40,0.9,0.15,3.52,12.296,4.87,17.685,True
1.5,40,0.9,0.3,4.58,15.181,5.59,17.97,True
1.5,40,0.9,0.45,5.86,16.955,6.31,18.255,True
1.5,40,0.9,0.6,7.22,19.425,7.03,18.54,False
1.5,40,0.5,0.0,2.77,10.229,4.75,17.4,True
1.5,40,0.5,0.15,3.79,12.289,5.47,17.685,True
1.5,40,0.5,0.3,5.05,14.511,6.19,17.97,True
1.5,40,0.5,0.45,6.23,16.621,6.91,18.255,True
1.5,40,0.5,0.6,7.78,19.329,7.63,18.54,False
1.5,40,0.1,0.0,3.46,11.32,5.35,17.4,True
1.5,40,0.1,0.15,4.66,13.354,6.07,17.685,True
1.5,40,0.1,0.3,5.85,15.524,6.79,17.97,True
1.5,40,0.1,0.45,7.32,17.353,7.51,18.255,True
1.5,40,0.1,0.6,8.76,20.073,8.23,18.54,False
1.5,60,0.9,0.0,3.08,11.879,5.15,19.8,True
1.5,60,0.9,0.15,4.35,14.319,6.14,20.145,True
1.5,60,0.9,0.3,5.85,16.684,7.13,20.49,True
1.5,60,0.9,0.45,7.64,19.707,8.12,20.835,True
1.5,60,0.9,0.6,9.43,21.911,9.11,21.18,False
1.5,60,0.5,0.0,3.39,11.048,5.75,19.8,True
1.5,60,0.5,0.15,4.65,14.241,6.74,20.145,True
1.5,60,0.5,0.3,6.29,16.543,7.73,20.49,True
1.5,60,0.5,0.45,8.09,18.657,8.72,20.835,True
1.5,60,0.5,0.6,10.11,22.459,9.71,21.18,False
1.5,60,0.1,0.0,4.13,12.786,6.35,19.8,True
1.5,60,0.1,0.15,5.75,15.495,7.34,20.145,True
1.5,60,0.1,0.3,7.06,17.734,8.33,20.49,True
1.5,60,0.1,0.45,8.82,20.154,9.32,20.835,True
1.5,60,0.1,0.6,11.0,22.718,10.31,21.18,False
1.5,80,0.9,0.0,3.51,13.188,6.15,22.2,True
1.5,80,0.9,0.15,5.22,15.982,7.41,22.605,True
1.5,80,0.9,0.3,7.23,18.868,8.67,23.01,True
1.5,80,0.9,0.45,9.38,21.429,9.93,23.415,True
1.5,80,0.9,0.6,11.73,24.751,11.19,23.82,False
1.5,80,0.5,0.0,4.04,12.891,6.75,22.2,True
1.5,80,0.5,0.15,5.61,16.115,8.01,22.605,True
1.5,80,0.5,0.3,7.39,18.294,9.27,23.01,True
1.5,80,0.5,0.45,9.62,21.501,10.53,23.415,True
1.5,80,0.5,0.6,12.47,25.56,11.79,23.82,False
1.5,80,0.1,0.0,4.79,14.226,7.35,22.2,True
1.5,80,0.1,0.15,6.76,17.245,8.61,22.605,True
1.5,80,0.1,0.3,8.3,19.805,9.87,23.01,True
1.5,80,0.1,0.45,10.42,22.601,11.13,23.415,True
1.5,80,0.1,0.6,13.08,25.528,12.39,23.82,False
1.5,100,0.9,0.0,4.42,14.861,7.15,24.6,True
1.5,100,0.9,0.15,6.23,17.848,8.68,25.065,True
1.5,100,0.9,0.3,8.52,20.452,10.21,25.53,True
1.5,100,0.9,0.45,10.68,24.016,11.74,25.995,True
1.5,100,0.9,0.6,13.85,28.015,13.27,26.46,False
1.5,100,0.5,0.0,4.62,14.578,7.75,24.6,True
1.5,100,0.5,0.15,6.36,17.287,9.28,25.065,True
1.5,100,0.5,0.3,8.72,20.161,10.81,25.53,True
1.5,100,0.5,0.45,11.47,24.406,12.34,25.995,True
1.5,100,0.5,0.6,13.91,27.878,13.87,26.46,False
1.5,100,0.1,0.0,5.48,15.558,8.35,24.6,True
1.5,100,0.1,0.15,7.77,19.471,9.88,25.065,True
1.5,100,0.1,0.3,9.5,22.253,11.41,25.53,True
1.5,100,0.1,0.45,12.15,24.94,12.94,25.995,True
1.5,100,0.1,0.6,15.69,28.512,14.47,26.46,False
3.0,20,0.9,0.0,1.83,9.267,3.15,15.0,True
3.0,20,0.9,0.15,2.85,11.471,3.6,15.225,True
3.0,20,0.9,0.3,3.78,13.801,4.05,15.45,True
3.0,20,0.9,0.45,4.91,17.167,4.5,15.675,False
3.0,20,0.9,0.6,6.55,20.731,4.95,15.9,False
3.0,20,0.5,0.0,2.17,8.917,3.75,15.0,True
3.0,20,0.5,0.15,3.05,10.872,4.2,15.225,True
3.0,20,0.5,0.3,4.13,13.652,4.65,15.45,True
3.0,20,0.5,0.45,5.51,16.984,5.1,15.675,False
3.0,20,0.5,0.6,7.3,20.962,5.55,15.9,False
3.0,20,0.1,0.0,2.9,10.057,4.35,15.0,True
3.0,20,0.1,0.15,3.76,12.023,4.8,15.225,True
3.0,20,0.1,0.3,4.93,14.752,5.25,15.45,True
3.0,20,0.1,0.45,6.53,17.848,5.7,15.675,False
3.0,20,0.1,0.6,8.2,21.175,6.15,15.9,False
3.0,40,0.9,0.0,2.55,10.521,4.15,17.4,True
3.0,40,0.9,0.15,3.68,12.882,4.87,17.685,True
3.0,40,0.9,0.3,5.14,16.134,5.59,17.97,True
3.0,40,0.9,0.45,7.0,20.167,6.31,18.255,False
3.0,40,0.9,0.6,9.33,24.77,7.03,18.54,False
3.0,40,0.5,0.0,2.82,10.278,4.75,17.4,True
3.0,40,0.5,0.15,3.93,12.414,5.47,17.685,True
3.0,40,0.5,0.3,5.43,16.234,6.19,17.97,True
3.0,40,0.5,0.45,7.39,19.519,6.91,18.255,False
3.0,40,0.5,0.6,9.97,24.27,7.63,18.54,False
3.0,40,0.1,0.0,3.47,11.495,5.35,17.4,True
3.0,40,0.1,0.15,4.86,14.032,6.07,17.685,True
3.0,40,0.1,0.3,6.38,16.997,6.79,17.97,True
3.0,40,0.1,0.45,8.32,20.225,7.51,18.255,False
3.0,40,0.1,0.6,10.91,24.84,8.23,18.54,False
3.0,60,0.9,0.0,3.09,12.267,5.15,19.8,True
3.0,60,0.9,0.15,4.53,14.783,6.14,20.145,True
3.0,60,0.9,0.3,6.35,18.505,7.13,20.49,True
3.0,60,0.9,0.45,8.96,22.787,8.12,20.835,False
3.0,60,0.9,0.6,11.88,27.446,9.11,21.18,False
3.0,60,0.5,0.0,3.5,11.664,5.75,19.8,True
3.0,60,0.5,0.15,5.08,14.391,6.74,20.145,True
3.0,60,0.5,0.3,6.85,18.347,7.73,20.49,True
3.0,60,0.5,0.45,9.64,22.676,8.72,20.835,False
3.0,60,0.5,0.6,12.72,28.084,9.71,21.18,False
3.0,60,0.1,0.0,4.15,12.25,6.35,19.8,True
3.0,60,0.1,0.15,5.57,15.791,7.34,20.145,True
3.0,60,0.1,0.3,7.61,19.083,8.33,20.49,True
3.0,60,0.1,0.45,10.7,23.581,9.32,20.835,False
3.0,60,0.1,0.6,13.35,28.25,10.31,21.18,False
3.0,80,0.9,0.0,3.75,13.39,6.15,22.2,True
3.0,80,0.9,0.15,5.43,16.586,7.41,22.605,True
3.0,80,0.9,0.3,7.76,21.099,8.67,23.01,True
3.0,80,0.9,0.45,10.75,25.662,9.93,23.415,False
3.0,80,0.9,0.6,14.48,31.069,11.19,23.82,False
3.0,80,0.5,0.0,4.13,13.679,6.75,22.2,True
3.0,80,0.5,0.15,5.92,16.355,8.01,22.605,True
3.0,80,0.5,0.3,8.17,20.82,9.27,23.01,True
3.0,80,0.5,0.45,11.62,25.756,10.53,23.415,False
3.0,80,0.5,0.6,15.68,31.665,11.79,23.82,False
3.0,80,0.1,0.0,4.78,14.879,7.35,22.2,True
3.0,80,0.1,0.15,6.91,18.166,8.61,22.605,True
3.0,80,0.1,0.3,9.16,21.054,9.87,23.01,True
3.0,80,0.1,0.45,12.69,26.298,11.13,23.415,False
3.0,80,0.1,0.6,16.35,31.498,12.39,23.82,False
3.0,100,0.9,0.0,4.23,15.142,7.15,24.6,True
3.0,100,0.9,0.15,6.56,18.421,8.68,25.065,True
3.0,100,0.9,0.3,9.22,23.121,10.21,25.53,True
3.0,100,0.9,0.45,12.83,28.513,11.74,25.995,False
3.0,100,0.9,0.6,16.97,34.214,13.27,26.46,False
3.0,100,0.5,0.0,4.54,14.376,7.75,24.6,True
3.0,100,0.5,0.15,6.72,17.973,9.28,25.065,True
3.0,100,0.5,0.3,9.65,22.8,10.81,25.53,True
3.0,100,0.5,0.45,13.65,28.226,12.34,25.995,False
3.0,100,0.5,0.6,17.79,34.397,13.87,26.46,False
3.0,100,0.1,0.0,5.44,16.743,8.35,24.6,True
3.0,100,0.1,0.15,7.76,19.534,9.88,25.065,True
3.0,100,0.1,0.3,10.65,23.834,11.41,25.53,True
3.0,100,0.1,0.45,14.56,29.448,12.94,25.995,False
3.0,100,0.1,0.6,19.67,34.892,14.47,26.46,False
